nome_base_normalizado;nomes_cadastrados;quantidade_cadastros;quantidade_contextos;status;ids;bairros;ceps;distritos
NOSSA SENHORA DA PENHA;RUA NOSSA SENHORA DA PENHA | TRAVESSA NOSSA SENHORA DA PENHA;3;3;ambiguidade_por_contexto;804,852,2061;Parque Calabouço,Parque Penha;28021220,28021470,28080783;611,622
NOSSA SENHORA DO CARMO;AVENIDA NOSSA SENHORA DO CARMO | AVENIDA NOSSA SENHORA DO CARMO - LADO PAR | AVENIDA NOSSA SENHORA DO CARMO - LADO ÍMPAR;5;5;ambiguidade_por_contexto;739,740,763,764,1129;Parque Rui Barbosa,Parque São Benedito,Parque Turf Club;28020800,28024167,28024168,28025486,28025487;610,615
NOVA;RUA NOVA;2;2;ambiguidade_por_contexto;416,539;Goytacazes,Parque Novo Jockey;28020844,28023693;607,608
NOVE;RUA NOVE;2;2;ambiguidade_por_contexto;727,2020;Parque Boa Vista,Parque Penha;28021640,28073563;610,622
OITO;RUA OITO;2;2;ambiguidade_por_contexto;726,2022;Parque Boa Vista,Parque Penha;28021630,28073560;610,622
OLIMPIO LINHARES;RUA OLÍMPIO LINHARES | TRAVESSA OLIMPIO LINHARES;2;2;ambiguidade_por_contexto;300,441;Goytacazes;28023582,28023730;605,607
PINHEIRO MACHADO AV;PINHEIRO MACHADO, AV.;2;2;ambiguidade_por_contexto;1144,1366;FAROL DE SÃO TOMÉ;28142002,28142143;615,616
PRINCESA ISABEL;RUA PRINCESA ISABEL - ATÉ 394 - LADO PAR | RUA PRINCESA ISABEL - ATÉ 405 - LADO ÍMPAR | RUA PRINCESA ISABEL - DE 396 AO FIM - LADO PAR | RUA PRINCESA ISABEL - DE 407 AO FIM - LADO ÍMPAR;4;4;ambiguidade_por_contexto;1212,1213,1368,1369;Parque Rosário;28024151,28024152,28027091,28027092;615,616
PROFESSORA CARMEM CARNEIRO;AVENIDA PROFESSORA CARMEM CARNEIRO - ATÉ 982 - LADO PAR | AVENIDA PROFESSORA CARMEM CARNEIRO - ATÉ 983 - LADO ÍMPAR | AVENIDA PROFESSORA CARMEM CARNEIRO - DE 1392/1393 A 1677/1678 | AVENIDA PROFESSORA CARMEM CARNEIRO - DE 1680/1681 AO FIM | AVENIDA PROFESSORA CARMEM CARNEIRO - DE 985/986 A 1390/1391;5;5;ambiguidade_por_contexto;1960,1962,1964,1966,2062;Parque Aeroporto,Parque Jardim Carioca;28080424,28080425,28083510,28085710,28090115;622,623
PROJETADA A;RUA PROJETADA A | TRAVESSA PROJETADA A;7;7;ambiguidade_por_contexto;50,530,1561,1592,1593,1810,2071;Custodópolis,Parque Aurora,Parque Calabouço,Parque Novo Jockey,Parque São Domingos,Parque Vera Cruz,Vila Industrial;28020835,28026550,28060395,28080760,28085270,28085655,28090015;601,608,618,620,623
PROJETADA B;RUA PROJETADA B | TRAVESSA PROJETADA B;4;4;ambiguidade_por_contexto;1563,1595,2049,2073;Custodópolis,Parque Calabouço,Parque Céu Azul,Parque São Domingos;28080782,28083670,28085635,28085665;618,622,623
PROJETADA C;RUA PROJETADA C | TRAVESSA PROJETADA C;3;3;ambiguidade_por_contexto;100,528,1597;Custodópolis,Parque Aurora,Parque Novo Jockey;28020833,28026605,28085645;602,608,618
QUATORZE;RUA QUATORZE;2;2;ambiguidade_por_contexto;732,887;Alphaville,Parque Penha;28021690,28024726;610,611
QUINZE;RUA QUINZE;2;2;ambiguidade_por_contexto;733,2051;Parque Alvorada,Parque Penha;28021700,28083720;610,622
ROSSINE QUINTANILHA CHAGAS;RUA ROSSINE QUINTANILHA CHAGAS - ATÉ 121 - LADO ÍMPAR | RUA ROSSINE QUINTANILHA CHAGAS - ATÉ 124 - LADO PAR | RUA ROSSINE QUINTANILHA CHAGAS - DE 127 AO 193 - LADO ÍMPAR | RUA ROSSINE QUINTANILHA CHAGAS - DE 142 AO 198 - LADO PAR | TRAVESSA ROSSINE QUINTANILHA CHAGAS;5;5;ambiguidade_por_contexto;788,789,790,1030,1031;Parque Imperial,Parque Penha;28021001,28021002,28021005,28022321,28022323;611,613
RUI BARBOSA;AVENIDA RUI BARBOSA | AVENIDA RUI BARBOSA - DE 727 AO FIM - LADO ÍMPAR;2;2;ambiguidade_por_contexto;227,228;Centro,Parque Aldeia;28010005,28013000;605
SALDANHA MARINHO;RUA SALDANHA MARINHO | RUA SALDANHA MARINHO - ATÉ 155 - LADO ÍMPAR | RUA SALDANHA MARINHO - DE 377 AO 503 - LADO ÍMPAR | RUA SALDANHA MARINHO - DE 426 AO 474 - LADO PAR;4;4;ambiguidade_por_contexto;64,65,78,2267;Centro;28010271,28010272,28013021,28013022;602,603
SANTA ROSA;AVENIDA SANTA ROSA | ESTRADA SANTA ROSA;2;2;ambiguidade_por_contexto;1829,1831;Custodópolis,Parque Santa Clara;28085030,28085500;621
